,Influencers,Date,Tweet Text,Compound,Positive,Negative,Neutral,Tweets Ago,AgeOfTweet,TweetAgeType
0,katyperry,06/23/2018,Was so proud to give the gift of #transcendentalmeditation to my tour mates last week lead by my beautiful friend… https://t.co/4EKlQMP9Wk,0.8805,0.362,0.0,0.638,100,8,1
1,katyperry,06/22/2018,found my first skin tag today. I think I’m an adult now. #TGIF,0.0,0.0,0.0,1.0,99,8,1
2,katyperry,06/21/2018,"Never forget, everyone was once a child.",0.1695,0.25,0.0,0.75,98,10,1
3,katyperry,06/20/2018,"My Aussies 🐨 &amp; Kiwis 🥝! For the FINALE of #WitnessTheTour (that's right, shows #98-111 🙀), I'm bringing… https://t.co/tkXX44Dypk",0.0,0.0,0.0,1.0,97,10,1
4,katyperry,06/15/2018,"I 👁 you, @RoarForJess, and I ❤ you, and I’m singing this one for you tonight!",0.0,0.0,0.0,1.0,96,15,1
5,katyperry,06/09/2018,Scandinavians have figured it out.,0.0,0.0,0.0,1.0,95,21,1
6,katyperry,06/09/2018,Oi oi @JackGarratt remember when we locked ourselves in a room for a few days in Santa Barbara and wrote a rad song… https://t.co/qosnSJtTr0,0.0,0.0,0.0,1.0,94,22,1
7,katyperry,06/09/2018,WITNESS IS 1⃣❗🎂 🎈 https://t.co/fz83TjrJUr https://t.co/KnC2OnWSSU,0.0,0.0,0.0,1.0,93,22,1
8,katyperry,06/06/2018,IM SCREAMINGOSBEJRMF$&amp;2@!K https://t.co/SnRrHLSSLR,0.0,0.0,0.0,1.0,92,24,1
9,katyperry,06/05/2018,CALIFORNIANS! What’s important to you? Is it gun violence? Immigration? Women’s rights? Prison reform? The… https://t.co/tr8Pu9GmTO,-0.8821,0.072,0.445,0.483,91,26,1
10,katyperry,06/02/2018,"We just played our 80TH show for #WITNESSTHETOUR... 🤝🌎💪🏻🌍🙌🏻🌏❤️ #andwedontstop
#welloiledmachine #cookingwithgas 👵🏼",0.34,0.13,0.0,0.87,90,28,1
11,katyperry,06/02/2018,bout to do Yoga to new Kanye record,0.0,0.0,0.0,1.0,89,28,1
12,katyperry,06/01/2018,Happy #PRIDE month. I see you and I love you 🌈❤️🧡💛💚💙💜🌈,0.836,0.53,0.0,0.47,88,29,1
13,katyperry,06/01/2018,Imma #believer ♥️ https://t.co/BV2ZK9OeAX,0.0,0.0,0.0,1.0,87,29,1
14,katyperry,06/01/2018,Here’s something to believe in: @cynthialovely is really coming into her own 🌸 and just put out a 📹 to one of my fa… https://t.co/xQeBcn1mpl,0.0,0.0,0.0,1.0,86,29,1
15,katyperry,05/30/2018,RT @AmericanIdol: Did you think we were 'going going' to miss it?! Our Idol @MaddiePoppe will perform TONIGHT on @JimmyKimmelLive! #America…,-0.2924,0.0,0.098,0.902,85,32,1
16,katyperry,05/29/2018,"RT @repjohnlewis: Thank you, @ABCNetwork. You did the right thing. There is not any room in our society for racism or bigotry.",-0.3818,0.094,0.154,0.752,84,32,1
17,katyperry,05/22/2018,"Before this weekend’s American Idol finale, I… https://t.co/OcJnBWY5j5",0.0,0.0,0.0,1.0,83,39,1
18,katyperry,05/22/2018,"Season 1 is ""Going, Going, Gone""! Congratulations, brilliant @MaddiePoppe ✨👏🏻 Click here for her ear  🍬:… https://t.co/wbpr1utAHc",0.8398,0.363,0.0,0.637,82,40,1
19,katyperry,05/22/2018,The couple that sangs together stays together... #AmericanIdolFinale https://t.co/3GPMGfRdym,0.0,0.0,0.0,1.0,81,40,1
20,katyperry,06/23/2018,Was so proud to give the gift of #transcendentalmeditation to my tour mates last week lead by my beautiful friend… https://t.co/4EKlQMP9Wk,0.8805,0.362,0.0,0.638,80,8,1
21,katyperry,06/22/2018,found my first skin tag today. I think I’m an adult now. #TGIF,0.0,0.0,0.0,1.0,79,8,1
22,katyperry,06/21/2018,"Never forget, everyone was once a child.",0.1695,0.25,0.0,0.75,78,10,1
23,katyperry,06/20/2018,"My Aussies 🐨 &amp; Kiwis 🥝! For the FINALE of #WitnessTheTour (that's right, shows #98-111 🙀), I'm bringing… https://t.co/tkXX44Dypk",0.0,0.0,0.0,1.0,77,10,1
24,katyperry,06/15/2018,"I 👁 you, @RoarForJess, and I ❤ you, and I’m singing this one for you tonight!",0.0,0.0,0.0,1.0,76,15,1
25,katyperry,06/09/2018,Scandinavians have figured it out.,0.0,0.0,0.0,1.0,75,21,1
26,katyperry,06/09/2018,Oi oi @JackGarratt remember when we locked ourselves in a room for a few days in Santa Barbara and wrote a rad song… https://t.co/qosnSJtTr0,0.0,0.0,0.0,1.0,74,22,1
27,katyperry,06/09/2018,WITNESS IS 1⃣❗🎂 🎈 https://t.co/fz83TjrJUr https://t.co/KnC2OnWSSU,0.0,0.0,0.0,1.0,73,22,1
28,katyperry,06/06/2018,IM SCREAMINGOSBEJRMF$&amp;2@!K https://t.co/SnRrHLSSLR,0.0,0.0,0.0,1.0,72,24,1
29,katyperry,06/05/2018,CALIFORNIANS! What’s important to you? Is it gun violence? Immigration? Women’s rights? Prison reform? The… https://t.co/tr8Pu9GmTO,-0.8821,0.072,0.445,0.483,71,26,1
30,katyperry,06/02/2018,"We just played our 80TH show for #WITNESSTHETOUR... 🤝🌎💪🏻🌍🙌🏻🌏❤️ #andwedontstop
#welloiledmachine #cookingwithgas 👵🏼",0.34,0.13,0.0,0.87,70,28,1
31,katyperry,06/02/2018,bout to do Yoga to new Kanye record,0.0,0.0,0.0,1.0,69,28,1
32,katyperry,06/01/2018,Happy #PRIDE month. I see you and I love you 🌈❤️🧡💛💚💙💜🌈,0.836,0.53,0.0,0.47,68,29,1
